genre,song_name,danceability,energy,loudness,valence,,,,,,,
Pop,Glad You Came,0.698,0.844,-4.549,0.446,,,,,,,
Pop,Who Knew,0.689,0.737,-4.516,0.47,,,,,,,
Pop,My House,0.688,0.702,-4.792,0.74,,,,,,,
Pop,Hot N Cold,0.706,0.841,-3.956,0.861,,,,,,,
Pop,Love You Like A Love Song,0.858,0.677,-3.842,0.925,,,,,,,
Pop,Born This Way,0.587,0.828,-5.108,0.494,,,,,,,
Pop,Die Young,0.711,0.7,-4.805,0.801,,,,,,,
Pop,Wake Me Up,0.512,0.803,-5.135,0.591,,,,,,,
Pop,Hey Ya! - Radio Mix,0.715,0.97,-2.206,0.963,,,,,,,
Pop,Smoke & Ash,0.694,0.602,-7.358,0.329,,,,,,,
Pop,New Rules,0.762,0.7,-6.021,0.608,,,,,,,
Pop,Attention,0.774,0.626,-4.432,0.777,,,,,,,
Pop,There's Nothing Holdin' Me Back,0.857,0.8,-4.035,0.966,,,,,,,
Pop,Something Just Like This,0.617,0.635,-6.769,0.446,,,,,,,
Pop,Perfect,0.599,0.448,-6.312,0.168,,,,,,,
Pop,Feel It Still,0.801,0.795,-5.115,0.754,,,,,,,
Pop,Brave,0.551,0.836,-3.838,0.758,,,,,,,
Pop,Till the World Ends,0.693,0.705,-5.747,0.45,,,,,,,
Pop,Single Ladies (Put a Ring on It),0.426,0.584,-5.293,0.272,,,,,,,
Pop,Paparazzi,0.761,0.729,-3.081,0.387,,,,,,,
Pop,Moves Like Jagger - Studio Recording From The Voice Performance,0.722,0.758,-4.477,0.62,,,,,,,
Pop,Counting Stars,0.664,0.705,-4.972,0.477,,,,,,,
Pop,Alejandro,0.626,0.799,-6.612,0.369,,,,,,,
Pop,Live While We're Young,0.66,0.839,-2.058,0.945,,,,,,,
Pop,Grenade,0.706,0.558,-7.237,0.227,,,,,,,
Pop,Baby,0.73,0.848,-5.262,0.559,,,,,,,
Pop,I Really Like You,0.621,0.825,-4.686,0.593,,,,,,,
Pop,The Edge Of Glory,0.581,0.774,-6.547,0.358,,,,,,,
Pop,One Thing,0.713,0.724,-3.769,0.653,,,,,,,
Pop,Into You,0.623,0.734,-5.948,0.37,,,,,,,
Pop,All My Heroes - Radio Edit,0.609,0.668,-4.515,0.212,,,,,,,
Pop,Complicated,0.585,0.776,-5.898,0.427,,,,,,,
Pop,Lady Marmalade,0.739,0.864,-2.173,0.64,,,,,,,
Pop,Caught Up,0.652,0.548,-8.046,0.544,,,,,,,
Pop,Out of Here,0.778,0.877,-3.619,0.739,,,,,,,
Pop,Happy,0.652,0.757,-6.819,0.962,,,,,,,
Pop,Broken Love,0.578,0.939,-3.676,0.216,,,,,,,
Pop,Sober Up,0.513,0.796,-6.626,0.682,,,,,,,
Pop,Sugar,0.748,0.788,-7.055,0.884,,,,,,,
Pop,This Love - Radio Edit,0.688,0.76,-9.892,0.765,,,,,,,
Pop,MYOB,0.849,0.667,-4.662,0.591,,,,,,,
Pop,Broken Famous,0.446,0.822,-5.778,0.234,,,,,,,
Pop,So Sick,0.452,0.574,-8.336,0.58,,,,,,,
Pop,Neighborhood,0.678,0.766,-6.171,0.734,,,,,,,
Pop,SOS,0.677,0.671,-4.905,0.527,,,,,,,
Pop,Shy Boy,0.741,0.73,-8.221,0.468,,,,,,,
Pop,Coffee Eyes,0.551,0.841,-4.45,0.593,,,,,,,
Pop,London Bridge,0.751,0.648,-5.394,0.678,,,,,,,
Pop,DIDIDIT,0.754,0.828,-6.088,0.469,,,,,,,
Pop,Unfaithful,0.588,0.391,-8.596,0.349,,,,,,,
Pop,Dreamin',0.722,0.687,-7.587,0.281,,,,,,,
Pop,Around,0.621,0.285,-16.423,0.0383,,,,,,,
Pop,Shape of You,0.825,0.652,-3.183,0.931,,,,,,,
Pop,Backend,0.669,0.58,-8.855,0.409,,,,,,,
Pop,Need You,0.65,0.542,-11.762,0.34,,,,,,,
Pop,BODY LIKE THAT,0.654,0.767,-7.346,0.792,,,,,,,
Pop,Back 2 The Future (Louder),0.521,0.658,-5.638,0.261,,,,,,,
Pop,So Fly,0.636,0.85,-2.797,0.39,,,,,,,
Pop,Everytime We Touch - Radio Edit,0.64,0.977,-5.369,0.493,,,,,,,
Pop,Wake Up (feat. Mulatto),0.887,0.662,-4.632,0.725,,,,,,,
Pop,Wait 4 It,0.644,0.684,-4.867,0.487,,,,,,,
Pop,HELL YEAH,0.724,0.588,-9.129,0.575,,,,,,,
Pop,Across the Universe,0.569,0.718,-7.71,0.436,,,,,,,
Pop,Uptown Funk (feat. Bruno Mars),0.856,0.609,-7.223,0.928,,,,,,,
Pop,Tribute - La Felix Remix,0.708,0.839,-6.451,0.605,,,,,,,
Pop,Radiate,0.657,0.89,-6.1,0.413,,,,,,,
Pop,Ain't No Other Man,0.862,0.742,-4.722,0.511,,,,,,,
Pop,The Bottom,0.826,0.751,-5.26,0.647,,,,,,,
Pop,Nashville,0.74,0.731,-7.714,0.563,,,,,,,
Pop,Borat,0.902,0.524,-5.224,0.292,,,,,,,
Pop,Gold Digger,0.646,0.696,-5.572,0.625,,,,,,,
Pop,Grace Kelly,0.666,0.715,-9.445,0.699,,,,,,,
Pop,Ambitions,0.704,0.719,-4.771,0.311,,,,,,,
Pop,"Kiss Me, Kill Me",0.73,0.411,-4.979,0.812,,,,,,,
Pop,Music Is My Wife,0.738,0.893,-4.389,0.526,,,,,,,
Pop,DNA,0.908,0.429,-8.286,0.362,,,,,,,
Pop,You're Beautiful,0.675,0.479,-9.87,0.454,,,,,,,
Pop,Diamonds,0.555,0.715,-4.821,0.402,,,,,,,
Pop,Ten Toes,0.489,0.455,-8.996,0.619,,,,,,,
Pop,The Greatest (feat. Kendrick Lamar),0.668,0.725,-6.127,0.729,,,,,,,
Pop,Workin,0.836,0.611,-6.737,0.787,,,,,,,
Pop,Soulja Boy,0.578,0.56,-9.776,0.272,,,,,,,
Pop,I'll Be Fine,0.91,0.64,-6.945,0.477,,,,,,,
Pop,Marry You,0.62,0.832,-4.848,0.481,,,,,,,
Pop,Gambling Man,0.862,0.552,-3.951,0.599,,,,,,,
Pop,Bye Bye,0.732,0.648,-7.615,0.282,,,,,,,
Pop,Lost My Mind,0.813,0.742,-5.781,0.817,,,,,,,
Pop,Luna - Alex Martura Remix,0.832,0.711,-4.48,0.368,,,,,,,
Pop,Heathens,0.732,0.396,-9.348,0.548,,,,,,,
Pop,"Relax, Take It Easy",0.694,0.694,-8.21,0.608,,,,,,,
